,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
195,0,7,3,3,1,621,3.0,72,72,2,7,3.0,1.0,3,3.0,1.0,3,1,1.0,4.0,10.0,10.0
196,0,7,3,4,1,621,3.0,70,70,3,5,2.0,3.0,1,2.0,3.0,3,3,2.0,1.0,7.0,7.0
197,0,7,3,5,1,524,3.0,70,70,4,5,0.0,2.0,2,0.0,2.0,1,3,3.0,2.0,5.0,5.0
198,0,10,5,2,1,266,3.0,75,75,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,5.0,5.0
200,0,10,5,4,1,266,2.0,74,74,2,9,1.0,0.0,3,1.0,0.0,1,2,1.0,4.0,10.0,10.0
201,0,10,5,5,1,266,2.0,68,68,3,3,6.0,1.0,3,6.0,1.0,3,1,2.0,1.0,9.0,9.0
202,0,10,5,6,1,266,2.0,63,63,1,10,5.0,6.0,1,5.0,6.0,3,3,3.0,2.0,3.0,3.0
203,0,10,5,7,1,266,2.0,55,55,2,2,8.0,5.0,3,8.0,5.0,1,3,1.0,3.0,10.0,10.0
204,0,10,5,8,1,266,2.0,55,55,3,2,0.0,8.0,3,0.0,8.0,3,1,2.0,1.0,2.0,2.0
205,0,10,5,9,1,266,2.0,52,52,1,10,3.0,0.0,1,3.0,0.0,3,3,3.0,2.0,2.0,2.0
206,0,10,5,10,1,266,2.0,43,43,2,1,9.0,3.0,3,9.0,3.0,1,3,1.0,3.0,10.0,10.0
207,0,10,5,11,1,266,2.0,32,32,1,10,11.0,9.0,3,11.0,9.0,3,1,2.0,1.0,1.0,1.0
208,0,10,5,12,1,0,2.0,32,32,1,10,4.0,11.0,3,4.0,11.0,3,3,1.0,2.0,10.0,10.0
210,7,10,5,14,2,893,2.0,28,28,2,6,4.0,4.0,1,4.0,4.0,3,3,1.0,1.0,10.0,10.0
212,7,17,7,2,2,700,2.0,73,73,1,10,28.0,4.0,1,28.0,4.0,1,3,2.0,1.0,6.0,6.0
214,7,17,7,4,2,700,2.0,79,79,2,16,4.0,28.0,1,4.0,28.0,1,1,1.0,2.0,10.0,10.0
215,7,17,7,5,2,700,2.0,67,67,3,4,12.0,4.0,1,12.0,4.0,1,1,2.0,1.0,16.0,16.0
216,7,17,7,6,2,700,2.0,51,51,1,10,16.0,12.0,3,16.0,12.0,1,1,3.0,2.0,4.0,4.0
218,7,17,7,8,2,700,1.0,51,51,2,10,0.0,16.0,1,0.0,16.0,3,1,1.0,3.0,10.0,10.0
220,7,17,7,10,2,700,1.0,52,52,3,11,9.0,0.0,1,9.0,0.0,1,3,2.0,1.0,10.0,10.0
221,7,17,7,11,2,700,1.0,35,35,1,10,17.0,9.0,1,17.0,9.0,1,1,3.0,2.0,11.0,11.0
222,7,17,7,12,2,700,1.0,23,23,1,10,12.0,17.0,1,12.0,17.0,1,1,1.0,3.0,10.0,10.0
223,7,17,7,13,2,700,1.0,23,23,2,10,0.0,12.0,1,0.0,12.0,1,1,1.0,1.0,10.0,10.0
224,7,17,7,14,2,700,1.0,21,21,3,8,2.0,0.0,1,2.0,0.0,1,1,2.0,1.0,10.0,10.0
225,7,17,7,15,2,357,1.0,21,21,4,8,0.0,2.0,0,0.0,2.0,1,1,3.0,2.0,8.0,8.0
226,7,24,9,2,2,24,0.0,75,75,1,10,38.0,0.0,3,38.0,0.0,0,1,4.0,3.0,8.0,8.0
227,7,24,9,3,2,0,0.0,75,75,1,10,2.0,38.0,3,2.0,38.0,3,0,1.0,4.0,10.0,10.0
230,7,31,11,2,3,709,3.0,73,73,1,10,2.0,2.0,3,2.0,2.0,3,3,1.0,1.0,10.0,10.0
231,7,31,11,3,3,709,3.0,71,71,2,8,2.0,2.0,3,2.0,2.0,3,3,1.0,1.0,10.0,10.0
232,7,31,11,4,3,709,3.0,69,69,3,6,2.0,2.0,1,2.0,2.0,3,3,2.0,1.0,8.0,8.0
233,7,31,11,5,3,614,3.0,64,64,4,1,5.0,2.0,3,5.0,2.0,1,3,3.0,2.0,6.0,6.0
234,7,38,13,2,3,494,3.0,72,72,1,10,-1.0,5.0,1,-1.0,5.0,3,1,4.0,3.0,1.0,1.0
235,7,38,13,3,3,494,3.0,58,58,1,10,14.0,-1.0,1,14.0,-1.0,1,3,1.0,4.0,10.0,10.0
236,7,38,13,4,3,494,3.0,40,40,1,10,18.0,14.0,1,18.0,14.0,1,1,1.0,1.0,10.0,10.0
237,7,38,13,5,3,494,3.0,40,40,2,10,0.0,18.0,1,0.0,18.0,1,1,1.0,1.0,10.0,10.0
238,7,38,13,6,3,494,3.0,40,40,3,10,0.0,0.0,1,0.0,0.0,1,1,2.0,1.0,10.0,10.0
239,7,38,13,7,3,494,3.0,40,40,4,10,0.0,0.0,3,0.0,0.0,1,1,3.0,2.0,10.0,10.0
